SKU Code,"Diamond Size
(Round) mm","Diamond Count
(Round)","Diamond Size
(Princess) mm",Diamond Count(Princess),"Diamond Size
(Oval) mm",Diamond Count(Oval),"Diamond Size
(Emerald) mm",Diamond Count(Emerald),"Diamond Size
(Heart) mm",Diamond Count(Heart),"Diamond Size
(Marquise) mm","Diamond Count
(Marquise)","Diamond Size
(Pear) mm","Diamond Count
(Pear)",Diamond Size (Baguette) mm,Diamond Count (Baguette),Length,Width,"Diamond 
Wt",Volume,"18KT wt.
(Gm)"
R-2201,,,,,,,7.00*5.00,1.0,,,,,7.7*5.7,1.0,,,,,1.91,195.22,3.0649539999999997
,,,,,,,,,,,,,,,,,,,,,
R-2202,,,,,,,,,,,,,6.00*4.00,1.0,,,,,1.87,214.51,3.3678069999999996
,,,,,,,,,,,,,8.5*6.5,1.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
R-2203,,,,,,,,,,,,,7.7*5.7,2.0,,,,,1.77,190.29,2.9875529999999997
,,,,,,,,,,,,,,,,,,,,,
R-2204,,,,,7.7*5.7,1.0,,,,,,,7.7*5.7,1.0,,,,,1.88,195.05,3.0622849999999997
,,,,,,,,,,,,,,,,,,,,,
R-2205,,,,,,,7.00*5.00,1.0,,,10.00*5.00,1.0,,,,,,,1.94,234.94,3.6885579999999996
,,,,,,,,,,,,,,,,,,,,,
R-2206,,,,,,,,,,,,,7.7*5.7,2.0,,,,,1.62,239.11,3.754027
,,,,,,,,,,,,,,,,,,,,,
R-2207,6.5,1.0,,,,,,,,,,,7.7*5.7,1.0,,,,,1.84,274.37,4.307608999999999
,,,,,,,,,,,,,,,,,,,,,
R-2208,,,,,,,,,6.5*6.5,1.0,,,7.7*5.7,1.0,,,,,1.87,205.98,3.2338859999999996
,,,,,,,,,,,,,,,,,,,,,
R-2209,,,,,,,,,,,10.00*5.00,1.0,7.7*5.7,1.0,,,,,1.75,220.79,3.4664029999999997
,,,,,,,,,,,,,,,,,,,,,
R-2210,,,,,7.7*5.7,1.0,,,,,,,7.7*5.7,1.0,,,,,1.88,214.13,3.3618409999999996
,,,,,,,,,,,,,,,,,,,,,
R-2211,,,,,,,,,,,10.00*5.00,1.0,7.7*5.7,1.0,,,,,1.75,215.89,3.3894729999999993
,,,,,,,,,,,,,,,,,,,,,
R-2212,,,5.5*5.5,1.0,,,,,,,,,7.7*5.7,1.0,,,,,1.93,215.41,3.3819369999999997
,,,,,,,,,,,,,,,,,,,,,
R-2213,,,,,,,,,,,10.00*5.00,1.0,7.7*5.7,1.0,,,,,1.85,226.12,3.5500839999999996
,,,,,,,,,,,,,,,,,,,,,
R-2214,,,,,7.7 * 5.7,1.0,,,,,,,7.7*5.7,1.0,,,,,1.89,224.19,3.519783
,,,,,,,,,,,,,,,,,,,,,
R-2215,,,,,,,7.00*5.00,1.0,6.5*6.5,1.0,,,,,,,,,1.99,199.99,3.139843
,,,,,,,,,,,,,,,,,,,,,
R-2216,,,,,7.00*5.00,1.0,,,,,,,8.00*6.00,1.0,,,,,1.8,216.92,3.4056439999999997
,,,,,,,,,,,,,,,,,,,,,
R-2217,,,,,,,,,,,,,10.00*6.00,1.0,5.5*3.00,1.0,,,1.88,217.83,3.419931
,,,,,,,,,,,,,,,,,,,,,
R-2218,,,,,,,7.00*5.00,1.0,,,,,7.7*5.7,1.0,,,,,1.88,250.34,3.930338
,,,,,,,,,,,,,,,,,,,,,
R-2219,,,,,,,7.00*5.00,2.0,,,,,,,,,,,1.97,222.2,3.4885399999999995
,,,,,,,,,,,,,,,,,,,,,
R-2220,,,,,,,7.3*5.3,1.0,,,9.00*4.5,1.0,,,,,,,1.95,217.37,3.412709
,,,,,,,,,,,,,,,,,,,,,
R-2221,6.5,2.0,,,,,,,,,,,,,,,,,2.06,266.76,4.1881319999999995
,,,,,,,,,,,,,,,,,,,,,
R-2222,,,5.5*5.5,1.0,,,,,,,10.00*5.00,1.0,,,,,,,2.0,227.88,3.5777159999999997
,,,,,,,,,,,,,,,,,,,,,
R-2223,,,,,,,7.00*5.00,1.0,,,,,7.7*5.7,1.0,,,,,1.88,251.14,3.9428979999999996
,,,,,,,,,,,,,,,,,,,,,
R-2224,,,4.5*4.5,1.0,,,7.5*5.5,1.0,,,,,,,,,,,1.9,227.7,3.5748899999999995
,,,,,,,,,,,,,,,,,,,,,
R-2225,5.0,1.0,,,,,,,,,12.00*6.00,1.0,,,,,,,1.88,282.22,4.430854
