diamond_id,variant_id,cut_type,size_mm,count,total_weight,quality_grade
1,51,Round,2.2,1.0,0.0,VS
2,52,Round,2.2,1.0,0.0,VS
3,53,Round,2.2,1.0,0.0,VS
4,54,Round,2.2,1.0,0.0,VS
5,55,Round,2.2,1.0,0.0,VS
6,56,Round,2.2,1.0,0.0,VS
7,279,Round,1.2,21.0,0.14,VS
8,280,Round,1.2,21.0,0.14,VS
9,281,Round,1.2,21.0,0.14,VS
10,282,Round,1.2,21.0,0.14,VS
11,283,Round,1.2,21.0,0.14,VS
12,284,Round,1.2,21.0,0.14,VS
13,285,Round,1.7,1.0,0.12,VS
14,286,Round,1.7,1.0,0.12,VS
15,287,Round,1.7,1.0,0.12,VS
16,288,Round,1.7,1.0,0.12,VS
17,289,Round,1.7,1.0,0.12,VS
18,290,Round,1.7,1.0,0.12,VS
19,291,Round,1.4,7.0,0.07,VS
20,292,Round,1.4,7.0,0.07,VS
21,293,Round,1.4,7.0,0.07,VS
22,294,Round,1.4,7.0,0.07,VS
23,295,Round,1.4,7.0,0.07,VS
24,296,Round,1.4,7.0,0.07,VS
25,297,Round,3.0,1.0,0.34,VS
26,298,Round,3.0,1.0,0.34,VS
27,299,Round,3.0,1.0,0.34,VS
28,300,Round,3.0,1.0,0.34,VS
29,301,Round,3.0,1.0,0.34,VS
30,302,Round,3.0,1.0,0.34,VS
31,303,Round,3.0,1.0,0.26,VS
32,304,Round,3.0,1.0,0.26,VS
33,305,Round,3.0,1.0,0.26,VS
34,306,Round,3.0,1.0,0.26,VS
35,307,Round,3.0,1.0,0.26,VS
36,308,Round,3.0,1.0,0.26,VS
37,309,Round,3.0,1.0,0.1,VS
38,310,Round,3.0,1.0,0.1,VS
39,311,Round,3.0,1.0,0.1,VS
40,312,Round,3.0,1.0,0.1,VS
41,313,Round,3.0,1.0,0.1,VS
42,314,Round,3.0,1.0,0.1,VS
43,315,Round,1.1,36.0,0.18,VS
44,316,Round,1.1,36.0,0.18,VS
45,317,Round,1.1,36.0,0.18,VS
46,318,Round,1.1,36.0,0.18,VS
47,319,Round,1.1,36.0,0.18,VS
48,320,Round,1.1,36.0,0.18,VS
49,321,Round,1.1,36.0,0.18,VS
50,322,Round,1.1,36.0,0.18,VS
51,323,Round,2.5,5.0,0.51,VS
52,324,Round,2.5,5.0,0.51,VS
53,325,Round,2.5,5.0,0.51,VS
54,326,Round,2.5,5.0,0.51,VS
55,327,Round,2.5,5.0,0.51,VS
56,328,Round,2.5,5.0,0.51,VS
57,329,Round,2.5,1.0,0.29,VS
58,330,Round,2.5,1.0,0.29,VS
59,331,Round,2.5,1.0,0.29,VS
60,332,Round,2.5,1.0,0.29,VS
61,333,Round,2.5,1.0,0.29,VS
62,334,Round,2.5,1.0,0.29,VS
63,335,Round,1.3,31.0,0.34,VS
64,336,Round,1.3,31.0,0.34,VS
65,337,Round,1.3,31.0,0.34,VS
66,338,Round,1.3,31.0,0.34,VS
67,339,Round,1.3,31.0,0.34,VS
68,340,Round,1.3,31.0,0.34,VS
69,341,Round,1.0,61.0,0.25,VS
70,342,Round,1.0,61.0,0.25,VS
71,343,Round,1.0,61.0,0.25,VS
72,344,Round,1.0,61.0,0.25,VS
73,345,Round,1.0,61.0,0.25,VS
74,346,Round,1.0,61.0,0.25,VS
75,347,Round,1.0,3.0,5.05,VS
76,348,Round,1.0,3.0,5.05,VS
77,349,Round,1.0,3.0,5.05,VS
78,350,Round,1.0,3.0,5.05,VS
79,351,Round,1.0,3.0,5.05,VS
80,352,Round,1.0,3.0,5.05,VS
81,455,Round,1.3,20.0,0.16,VS
82,456,Round,1.3,20.0,0.16,VS
83,457,Round,1.3,20.0,0.16,VS
